text,label
Can we have a chat?,CHAT
Can we talk for a bit?,CHAT
Can we talk please? I want to have a chat.,CHAT
Can we talk?,CHAT
Have you got time to talk for a while?,CHAT
Hello there how are things?,CHAT
Hey hows its going?,CHAT
I just want to have a conversation,CHAT
I just want to have a normal conversation,CHAT
I want to converse,CHAT
I want to speak with you,CHAT
I would like to have a conversation,CHAT
I have something on my mind that I want to talk about,CHAT
Let us have a conversation,CHAT
Lets talk,CHAT
Theres something that I think you and I should have a conversation about,CHAT
Wanna chat?,CHAT
Wanna chat?,CHAT
Would you like to talk?,CHAT
analyse my brain activity and tell me if I am feeling happy or sad. Positive or negative? How do I feel?,EEG-EMOTIONS
Can you tell what mood Im in?,EEG-EMOTIONS
Do you know what is currently happening in my brain? Am I happy?,EEG-EMOTIONS
Do you think I am mentally stable?,EEG-EMOTIONS
Does my brainwave activity say how Im feeling? Am I feeling good? Bad? I want to know what information my brainwaves carry right now.,EEG-EMOTIONS
Go ahead  guess how I feel?,EEG-EMOTIONS
How am I feeling mentally?,EEG-EMOTIONS
How do I feel right now?,EEG-EMOTIONS
How do you think I feel about it?,EEG-EMOTIONS
Please can you analyse my brain activity. I want you to read my brainwaves and classify my emotional state right now.,EEG-EMOTIONS
Read my brainwaves and see if you can tell if Im feeling happy or sad. Read the sentiment of my brainwaves. Can you read my mind?,EEG-EMOTIONS
Read my mind  see if you can tell how I feel.,EEG-EMOTIONS
Read my mind and see if you can tell how I feel.,EEG-EMOTIONS
What is my current mood?,EEG-EMOTIONS
Am I concentrating or relaxed?,EEG-MENTAL-STATE
Am I concentrating?,EEG-MENTAL-STATE
Am I concentrative? Or am I relaxed? I want to concentrate. Can you read my brainwaves please? ,EEG-MENTAL-STATE
Am I feeling relaxed today?,EEG-MENTAL-STATE
Am I relaxed?,EEG-MENTAL-STATE
Brainwave meditation,EEG-MENTAL-STATE
Brainwave meditation?,EEG-MENTAL-STATE
Can you please tell me if Im in a concentrative state or not please?,EEG-MENTAL-STATE
Can you read my mind and tell me how Im feeling,EEG-MENTAL-STATE
Classify whether Im relaxed or not,EEG-MENTAL-STATE
Do my brainwaves tell me if Im concentrating or not?,EEG-MENTAL-STATE
Does my muse headband say Im relaxed or concentrating?,EEG-MENTAL-STATE
Help me relax with the EEG sensor,EEG-MENTAL-STATE
Help me to relax please I want to be relaxed,EEG-MENTAL-STATE
Read my mind and help to see if I am relaxed or concentrating or neutral,EEG-MENTAL-STATE
Read my mind and tell me if Im concentrating,EEG-MENTAL-STATE
Use brainwaves to help me to concentrate or to relax,EEG-MENTAL-STATE
Use EEG classification to help me concentrate please,EEG-MENTAL-STATE
Use the sensor to help me meditate,EEG-MENTAL-STATE
Amuse me,JOKE
Amuse me with a tale,JOKE
Can you get me to laugh?,JOKE
Can you make me laugh?,JOKE
Cheer me up please  tell me a funny story or a joke,JOKE
Do you know any funny jokes?,JOKE
Do you know any funny stories?,JOKE
Do you know any jokes?,JOKE
Do you know any puns?,JOKE
Hello Robot. I am feeling bored today. Do you have any funny stories? Can you tell me a joke please? I would like to hear something funny.,JOKE
I want to laugh,JOKE
Im feeling down cheer me up? Tell a joke?,JOKE
Im feeling sad. Can you cheer me up with a joke? ,JOKE
Im sad today entertain me,JOKE
Im so bored this afternoon. Can you say something funny to make my day more exciting?,JOKE
Make a joke,JOKE
Please can you make me laugh?,JOKE
Please say something funny or hilarious,JOKE
Please tell me a joke,JOKE
Say something funny,JOKE
say something hilarious. I want to have some fun!,JOKE
Tell a joke,JOKE
Tell me a funny story,JOKE
Tell me a story that you think is funny,JOKE
What is the funniest thing that someones ever told you?,JOKE
what is the funniest thing you have ever heard of?,JOKE
What is the most hilarious thing you have ever heard,JOKE
When have you laughed the hardest?,JOKE
Would you tell me a joke? Or a funny story? Something to brighten my day please I need something to cheer me up because I am in a bad mood.,JOKE
Are you at home or are you outside?,SCENE-CLASSIFICATION
Are you indoors or outdoors?,SCENE-CLASSIFICATION
Are you inside or outside?,SCENE-CLASSIFICATION
Are you inside the house? Are you in the garden?,SCENE-CLASSIFICATION
Did you go outside for a bit in the end or did you chill at home?,SCENE-CLASSIFICATION
Im heading to the bus stop  where can I find you?,SCENE-CLASSIFICATION
Look around and tell me where you are,SCENE-CLASSIFICATION
multi-modality scene recognition,SCENE-CLASSIFICATION
Open the scene recognition app,SCENE-CLASSIFICATION
Recognise the scene you are currently in,SCENE-CLASSIFICATION
Run scene recognition,SCENE-CLASSIFICATION
Run scene recognition algorithms,SCENE-CLASSIFICATION
Run the scene recognition module please,SCENE-CLASSIFICATION
Scene Classification,SCENE-CLASSIFICATION
Scene Recognition,SCENE-CLASSIFICATION
Take a look at your surroundings and tell me where you are,SCENE-CLASSIFICATION
What is our location?,SCENE-CLASSIFICATION
What is your current location?,SCENE-CLASSIFICATION
Where are we?,SCENE-CLASSIFICATION
Where are you right now?,SCENE-CLASSIFICATION
Where are you right now? Whats your environment,SCENE-CLASSIFICATION
Where are you? What is your location?,SCENE-CLASSIFICATION
Where can I find you at the moment?,SCENE-CLASSIFICATION
Where you at?,SCENE-CLASSIFICATION
